,User ID,Name,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Favorite Genres,Devices Used,Engagement Metrics,Customer Support Interactions
16,17,Robert Gonzalez,1952-05-02,Female,Quinnberg,2024-03-25,2025-03-25,Annual,Visa,Auto-renew,Regular,Romance,Smartphone,Low,3
17,18,Mindy Baxter,1978-11-16,Female,New Brandon,2024-01-23,2025-01-22,Annual,Amex,Auto-renew,Regular,Documentary,Tablet,High,6
18,19,Michael Smith,1945-08-30,Female,South Michaelhaven,2024-01-27,2025-01-26,Annual,Visa,Auto-renew,Occasional,Documentary,Smart TV,Low,6
19,20,Joseph Owens,1979-09-29,Female,Port Derekton,2024-03-15,2025-03-15,Annual,Mastercard,Manual,Occasional,Sci-Fi,Tablet,Medium,2
20,21,Devin Wolf,1956-07-05,Male,New Matthewbury,2024-03-15,2025-03-15,Monthly,Visa,Manual,Regular,Action,Tablet,Low,6
21,22,Heidi Brock,1967-02-17,Male,Lake Gloriaport,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Sci-Fi,Smart TV,Low,2
22,23,Tracy Hardin,1996-02-13,Female,North Audrey,2024-04-14,2025-04-14,Monthly,Visa,Auto-renew,Regular,Comedy,Smart TV,High,7
23,24,Maria White,1968-06-19,Male,West Raymond,2024-03-26,2025-03-26,Annual,Mastercard,Manual,Regular,Drama,Smart TV,High,0
24,25,Eric Johnson,1994-10-02,Female,North Jacob,2024-01-18,2025-01-17,Monthly,Mastercard,Auto-renew,Frequent,Sci-Fi,Smartphone,High,4
25,26,Kenneth Jones,1986-09-22,Female,Shafferland,2024-02-12,2025-02-11,Monthly,Mastercard,Auto-renew,Occasional,Comedy,Smart TV,High,7
26,27,Joel Cole,2005-03-29,Male,West Richardbury,2024-02-19,2025-02-18,Monthly,Visa,Manual,Occasional,Horror,Smart TV,High,0
27,28,Brittany Noble,1976-11-05,Male,New John,2024-01-26,2025-01-25,Monthly,Visa,Auto-renew,Occasional,Comedy,Smart TV,Medium,9
28,29,Shelley Lopez,1967-07-05,Female,North Marymouth,2024-01-07,2025-01-06,Annual,Mastercard,Auto-renew,Regular,Comedy,Smartphone,High,7
29,30,Stephen Perkins,1976-09-16,Female,West James,2024-01-31,2025-01-30,Monthly,Amex,Manual,Regular,Action,Smart TV,Medium,9
30,31,Christopher Davis,1955-09-19,Male,Randallton,2024-02-25,2025-02-24,Annual,Mastercard,Manual,Frequent,Romance,Smartphone,Low,10
31,32,Rodney Jones,1967-10-14,Female,Port Kimberly,2024-01-03,2025-01-02,Monthly,Mastercard,Manual,Occasional,Horror,Tablet,Low,9
32,33,Cheryl Johnson,1995-03-28,Male,Lisaton,2024-01-22,2025-01-21,Monthly,Mastercard,Manual,Frequent,Drama,Smartphone,Low,4
33,34,Whitney Underwood,2002-07-23,Female,New Jenniferport,2024-03-30,2025-03-30,Annual,Mastercard,Auto-renew,Regular,Horror,Smartphone,Low,10
34,35,Cheryl Bradley,1933-05-11,Male,New Jason,2024-04-05,2025-04-05,Annual,Mastercard,Manual,Occasional,Action,Smartphone,Low,6
35,36,Carrie Smith,1991-07-03,Female,Clineshire,2024-01-17,2025-01-16,Monthly,Mastercard,Manual,Occasional,Comedy,Tablet,High,10
36,37,Ryan Nunez,1944-10-26,Female,Jacquelinefurt,2024-02-16,2025-02-15,Monthly,Visa,Auto-renew,Frequent,Horror,Smart TV,Medium,6
37,38,John Wood,1975-07-23,Female,North Jerry,2024-01-23,2025-01-22,Annual,Amex,Manual,Frequent,Romance,Tablet,Medium,7
38,39,Rachel Holmes,1955-07-06,Female,Port Benjaminfort,2024-03-25,2025-03-25,Monthly,Visa,Auto-renew,Occasional,Documentary,Tablet,High,8
39,40,Terry Powell,1981-03-19,Female,Port Danielle,2024-02-04,2025-02-03,Annual,Visa,Auto-renew,Occasional,Documentary,Tablet,Low,5
40,41,Mark Hernandez,1975-03-07,Male,Port Jillianbury,2024-03-18,2025-03-18,Monthly,Visa,Auto-renew,Frequent,Comedy,Smart TV,Medium,8
41,42,Angela Hall,1962-06-14,Female,Sherrybury,2024-03-21,2025-03-21,Monthly,Amex,Auto-renew,Occasional,Comedy,Tablet,High,2
42,43,Laura Griffith,2001-01-09,Female,Port Charleschester,2024-03-19,2025-03-19,Annual,Amex,Auto-renew,Regular,Documentary,Tablet,Medium,9
43,44,Anita Calhoun MD,1945-08-27,Male,New Brandy,2024-03-14,2025-03-14,Annual,Mastercard,Manual,Frequent,Romance,Smartphone,Medium,6
44,45,Shannon Clark,1943-08-20,Male,East Aaronburgh,2024-03-14,2025-03-14,Monthly,Amex,Manual,Frequent,Horror,Smartphone,Low,6
45,46,Geoffrey Garcia,1993-10-31,Male,Jamesview,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Sci-Fi,Smart TV,Medium,5
46,47,Jeffery Maxwell,1953-04-13,Female,Davisfort,2024-02-21,2025-02-20,Annual,Amex,Auto-renew,Frequent,Sci-Fi,Smartphone,Low,7
47,48,Robert Lloyd,1985-03-15,Male,West Tanya,2024-03-09,2025-03-09,Monthly,Mastercard,Manual,Occasional,Romance,Smartphone,Low,2
48,49,Melissa Wells,1950-07-27,Female,South Kylestad,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Occasional,Horror,Smart TV,Low,8
49,50,Antonio Jackson,1965-07-23,Female,East Marcusberg,2024-03-24,2025-03-24,Annual,Visa,Manual,Occasional,Sci-Fi,Tablet,High,9
50,51,John Smith,1990-12-21,Male,New Nicoleport,2024-01-28,2025-01-27,Monthly,Visa,Manual,Occasional,Drama,Smart TV,High,8
51,52,Jeremy Lyons,1976-11-05,Male,North Stephen,2024-02-02,2025-02-01,Annual,Amex,Manual,Frequent,Horror,Smartphone,High,0
52,53,Cathy Harrington,1942-03-21,Male,Lake Wendyland,2024-04-14,2025-04-14,Monthly,Mastercard,Manual,Occasional,Drama,Smartphone,Low,8
53,54,Lisa Bauer,1964-10-26,Male,Michaelfort,2024-01-28,2025-01-27,Annual,Amex,Manual,Occasional,Comedy,Smart TV,High,5
54,55,Margaret Cooper,1964-02-19,Female,Lake Samantha,2024-03-13,2025-03-13,Annual,Visa,Auto-renew,Frequent,Action,Tablet,Low,3
55,56,Robert Browning,1973-11-09,Female,East Charles,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Sci-Fi,Smartphone,High,6
56,57,Amanda Williams DVM,1953-03-27,Female,Bowmanland,2024-01-02,2025-01-01,Monthly,Visa,Auto-renew,Occasional,Sci-Fi,Smart TV,Medium,2
57,58,William Clark,1961-05-19,Male,New Thomasville,2024-04-01,2025-04-01,Monthly,Amex,Auto-renew,Occasional,Drama,Tablet,Low,10
58,59,Julie Dean,2003-03-09,Female,Port Olivia,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Frequent,Comedy,Smart TV,High,10
59,60,Neil Allen,1968-09-05,Female,Port Lauramouth,2024-04-11,2025-04-11,Annual,Mastercard,Auto-renew,Occasional,Action,Smartphone,Low,9
60,61,Nicole Hunter,1953-09-24,Female,Smithborough,2024-02-15,2025-02-14,Monthly,Amex,Auto-renew,Occasional,Comedy,Smart TV,Medium,4
61,62,Susan Hurst,1991-10-15,Female,Phillipsfurt,2024-03-06,2025-03-06,Annual,Visa,Manual,Occasional,Romance,Smart TV,High,10
62,63,Megan Bates,1981-08-17,Female,Harrisshire,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Romance,Smartphone,Medium,3
63,64,Kristen Rowe,1974-06-10,Male,South Williammouth,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Frequent,Sci-Fi,Tablet,Low,4
64,65,Jessica Flores,1948-06-30,Female,New Jonathan,2024-01-17,2025-01-16,Monthly,Amex,Manual,Frequent,Comedy,Smartphone,Low,6
65,66,Elizabeth Taylor,1973-07-13,Female,Jennaburgh,2024-03-29,2025-03-29,Monthly,Amex,Manual,Regular,Romance,Tablet,High,10
66,67,Ronald Brooks MD,2004-04-07,Female,Jonathanburgh,2024-02-01,2025-01-31,Annual,Visa,Auto-renew,Frequent,Comedy,Tablet,High,9
67,68,Sonya Obrien,1946-02-17,Female,Jessicaborough,2024-03-19,2025-03-19,Annual,Visa,Manual,Frequent,Sci-Fi,Smart TV,Low,0
68,69,Tracy Koch,1947-08-03,Female,Kristenton,2024-04-09,2025-04-09,Monthly,Amex,Auto-renew,Frequent,Sci-Fi,Smartphone,High,9
69,70,Kendra Brooks DVM,1937-01-29,Male,Garzafort,2024-01-21,2025-01-20,Monthly,Amex,Manual,Regular,Action,Smartphone,Low,2
70,71,Janice Oliver,1988-12-02,Male,South Leslie,2024-02-27,2025-02-26,Monthly,Visa,Auto-renew,Frequent,Comedy,Tablet,Low,5
71,72,Jennifer Shields,2004-10-07,Male,Williamport,2024-03-03,2025-03-03,Annual,Mastercard,Auto-renew,Regular,Drama,Smartphone,High,7
72,73,Diana Dillon,1981-04-21,Male,South Beverlyton,2024-01-30,2025-01-29,Monthly,Visa,Auto-renew,Regular,Drama,Smartphone,Medium,4
73,74,David Mata,1967-08-12,Male,Lake Rebecca,2024-04-08,2025-04-08,Annual,Amex,Manual,Frequent,Drama,Tablet,Low,9
74,75,Megan Vaughan,1938-02-23,Female,Tinaberg,2024-02-03,2025-02-02,Annual,Visa,Manual,Frequent,Horror,Tablet,Medium,0
75,76,Kelsey Diaz,1992-06-29,Female,Wongview,2024-02-07,2025-02-06,Annual,Mastercard,Auto-renew,Occasional,Sci-Fi,Smart TV,Low,5
76,77,Jimmy Parker,1967-05-15,Female,Ramseymouth,2024-02-18,2025-02-17,Monthly,Mastercard,Manual,Regular,Documentary,Smart TV,Medium,10
77,78,Perry Fry,1993-12-10,Female,Port Jasonville,2024-03-10,2025-03-10,Monthly,Visa,Manual,Regular,Drama,Smartphone,Low,10
78,79,Evelyn Williams,1942-08-03,Male,Port Nicholas,2024-03-18,2025-03-18,Monthly,Mastercard,Auto-renew,Occasional,Sci-Fi,Tablet,Low,10
79,80,Julie Sanchez,1994-12-11,Female,Michaelberg,2024-01-29,2025-01-28,Annual,Visa,Manual,Regular,Comedy,Smartphone,Low,6
80,81,Joseph Davis,1933-10-12,Male,Martinezfort,2024-01-07,2025-01-06,Monthly,Mastercard,Manual,Frequent,Action,Smart TV,Low,3
81,82,Monique Rodriguez,1940-05-03,Male,West Connorport,2024-03-20,2025-03-20,Monthly,Mastercard,Manual,Frequent,Documentary,Smartphone,High,9
82,83,Thomas Davis,1938-12-01,Female,Carsonhaven,2024-02-29,2025-02-28,Annual,Visa,Auto-renew,Regular,Romance,Smartphone,High,5
83,84,Christopher Dickerson,1992-05-05,Female,Troytown,2024-01-15,2025-01-14,Monthly,Amex,Auto-renew,Occasional,Action,Smart TV,High,4
84,85,Keith Baker,1972-07-11,Female,Langton,2024-02-03,2025-02-02,Annual,Amex,Manual,Occasional,Horror,Smartphone,Medium,1
85,86,Ashley Cortez,1948-06-13,Female,Charlesfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Frequent,Action,Smart TV,Low,3
86,87,Tammy Ward,1974-03-16,Female,Lake Stephanieside,2024-01-28,2025-01-27,Annual,Mastercard,Auto-renew,Frequent,Horror,Smart TV,Low,4
87,88,Mary Fernandez,1990-04-27,Male,Melissamouth,2024-02-10,2025-02-09,Monthly,Amex,Manual,Regular,Romance,Smart TV,Low,2
88,89,Gilbert Brown,1984-03-24,Male,Amyborough,2024-02-27,2025-02-26,Annual,Visa,Auto-renew,Frequent,Romance,Smart TV,Low,2
89,90,Vanessa Lutz,1951-11-13,Female,North Michelleburgh,2024-02-11,2025-02-10,Monthly,Mastercard,Manual,Regular,Action,Tablet,Medium,3
90,91,Jenna Pham,1937-08-15,Male,Harryland,2024-01-13,2025-01-12,Monthly,Mastercard,Auto-renew,Occasional,Drama,Tablet,High,9
91,92,Alicia Williams,1991-06-20,Male,Lindseyland,2024-02-22,2025-02-21,Monthly,Amex,Manual,Frequent,Comedy,Tablet,Medium,2
92,93,Laura Saunders,1945-02-21,Male,Kevinchester,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Occasional,Drama,Tablet,Medium,3
93,94,Connor Morris,1981-03-04,Female,North Melissaville,2024-02-08,2025-02-07,Annual,Mastercard,Manual,Frequent,Drama,Smartphone,High,4
94,95,Shannon Farmer,1958-12-15,Female,Justinchester,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Frequent,Drama,Tablet,High,6
95,96,Mackenzie Harris,1963-11-06,Female,Lake Barryland,2024-03-01,2025-03-01,Annual,Mastercard,Auto-renew,Regular,Action,Smartphone,Medium,9
96,97,Stephanie Potter,1958-05-05,Female,New Teresaburgh,2024-03-25,2025-03-25,Monthly,Amex,Manual,Regular,Romance,Tablet,High,3
97,98,Mitchell Potter,1979-08-27,Male,South Katieburgh,2024-01-27,2025-01-26,Annual,Visa,Manual,Regular,Documentary,Tablet,High,4
98,99,Jonathan Rodriguez,1967-12-20,Male,East Shannonhaven,2024-02-29,2025-02-28,Monthly,Visa,Auto-renew,Occasional,Action,Smart TV,Medium,7
99,100,Jennifer Davis,1950-01-15,Female,West Nathanielton,2024-02-14,2025-02-13,Annual,Mastercard,Auto-renew,Regular,Drama,Smart TV,Low,5
100,101,Darlene Gutierrez,1956-09-20,Male,North Kristenbury,2024-01-19,2025-01-18,Monthly,Amex,Auto-renew,Frequent,Comedy,Smart TV,Low,1
101,102,Paula Perez,2003-03-12,Female,Dicksonmouth,2024-04-12,2025-04-12,Annual,Amex,Manual,Regular,Sci-Fi,Tablet,Low,3
102,103,Jaime Edwards,1990-11-27,Male,Bennettmouth,2024-04-08,2025-04-08,Annual,Amex,Manual,Occasional,Horror,Tablet,Low,2
103,104,Sherry Salinas,1998-03-27,Male,New Markview,2024-04-04,2025-04-04,Annual,Amex,Manual,Occasional,Action,Smart TV,High,8
104,105,Paul Harris,1958-05-09,Male,West Robinborough,2024-01-07,2025-01-06,Monthly,Amex,Manual,Frequent,Drama,Smart TV,Low,0
105,106,James Williams,1973-10-14,Male,West Robert,2024-02-13,2025-02-12,Annual,Mastercard,Auto-renew,Occasional,Comedy,Smartphone,High,10
106,107,Alan Oneal,1949-02-23,Female,South Amy,2024-02-14,2025-02-13,Annual,Mastercard,Manual,Frequent,Documentary,Tablet,Low,7
107,108,Grant Jensen,1944-07-10,Female,East Mark,2024-04-11,2025-04-11,Monthly,Amex,Manual,Regular,Action,Tablet,Medium,7
108,109,Traci Arellano,1974-02-15,Male,Leeshire,2024-01-24,2025-01-23,Annual,Visa,Auto-renew,Occasional,Horror,Tablet,Medium,2
109,110,Richard Ramsey,1982-01-12,Male,West Joan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Sci-Fi,Tablet,Medium,0
110,111,Maria Lawrence,1953-10-24,Male,Johnton,2024-02-27,2025-02-26,Annual,Amex,Manual,Regular,Drama,Smartphone,High,7
111,112,Regina Ramsey,1982-05-29,Female,Clarkville,2024-02-17,2025-02-16,Annual,Visa,Manual,Frequent,Horror,Tablet,Medium,2
112,113,Lisa Reese,1989-01-13,Male,Collinsmouth,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Frequent,Sci-Fi,Smart TV,Medium,3
113,114,Bruce Pennington,1967-12-01,Male,South Sharonhaven,2024-02-06,2025-02-05,Annual,Amex,Auto-renew,Frequent,Sci-Fi,Smartphone,High,9
114,115,Jessica Barker,1981-08-03,Female,New Robert,2024-04-12,2025-04-12,Monthly,Visa,Manual,Occasional,Horror,Smartphone,Medium,4
115,116,Alexis Vasquez,1980-07-20,Female,Wellsstad,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Regular,Action,Tablet,Low,3
116,117,Rebecca Lucero,1979-02-15,Female,Sullivantown,2024-03-29,2025-03-29,Annual,Mastercard,Auto-renew,Frequent,Action,Tablet,Low,6
117,118,Mary Phillips,1945-02-08,Female,Hortonview,2024-01-31,2025-01-30,Monthly,Amex,Auto-renew,Regular,Documentary,Smart TV,High,0
118,119,Dustin James,1937-10-13,Female,Johnsonmouth,2024-01-14,2025-01-13,Annual,Mastercard,Auto-renew,Regular,Comedy,Smartphone,Medium,7
119,120,Robert Williams,1990-09-22,Female,North Margaret,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Action,Smart TV,High,3
120,121,Lisa Washington,1991-11-03,Male,East Charlotte,2024-03-02,2025-03-02,Annual,Visa,Manual,Frequent,Drama,Smartphone,High,2
121,122,Brian French,1968-06-19,Male,Alisonfort,2024-03-15,2025-03-15,Monthly,Visa,Manual,Occasional,Romance,Smartphone,Low,7
122,123,Elizabeth Flores,1936-03-11,Female,Brandifurt,2024-01-12,2025-01-11,Annual,Amex,Auto-renew,Regular,Drama,Smart TV,High,2
123,124,Melissa Crawford,1947-05-19,Male,Garciaview,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Regular,Sci-Fi,Tablet,Low,8
124,125,Antonio Juarez,1990-06-24,Male,Byrdside,2024-01-25,2025-01-24,Annual,Visa,Manual,Frequent,Drama,Tablet,Medium,2
125,126,Robert Wilson DDS,1985-05-09,Male,New Cherylhaven,2024-04-05,2025-04-05,Annual,Visa,Manual,Regular,Horror,Tablet,Low,7
126,127,Christopher Clay,2005-07-10,Female,East Christophertown,2024-03-26,2025-03-26,Annual,Mastercard,Auto-renew,Frequent,Romance,Smart TV,Low,10
127,128,Ashley Jenkins,1985-06-19,Male,Lake Jacobport,2024-04-09,2025-04-09,Monthly,Visa,Manual,Frequent,Comedy,Smartphone,Medium,9
128,129,Charles Stafford,1991-10-05,Male,Michaelmouth,2024-04-14,2025-04-14,Monthly,Amex,Auto-renew,Regular,Documentary,Tablet,High,6
129,130,Jordan Jackson,1953-09-28,Female,Lake Amystad,2024-01-05,2025-01-04,Annual,Mastercard,Manual,Occasional,Sci-Fi,Tablet,Medium,3
130,131,Christine Wright,1972-02-04,Male,Lunahaven,2024-01-20,2025-01-19,Monthly,Mastercard,Manual,Occasional,Comedy,Smart TV,High,10
131,132,Penny Jones,1969-08-15,Female,Port Deanland,2024-01-22,2025-01-21,Annual,Amex,Manual,Occasional,Comedy,Tablet,Medium,1
132,133,Thomas Simon,1947-08-17,Male,East Lawrenceburgh,2024-03-21,2025-03-21,Monthly,Mastercard,Manual,Occasional,Action,Smartphone,Medium,3
133,134,Jamie Mitchell,1986-02-23,Female,Nicholashaven,2024-01-05,2025-01-04,Monthly,Visa,Auto-renew,Frequent,Horror,Smart TV,Medium,6
134,135,Lauren Harris,2004-06-18,Male,Nicholasburgh,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Documentary,Smart TV,Medium,7
135,136,Laura Martin,1964-01-01,Female,Adamfort,2024-04-08,2025-04-08,Annual,Mastercard,Manual,Occasional,Sci-Fi,Smart TV,High,2
136,137,Mark Snyder,1954-03-08,Male,Brianview,2024-04-11,2025-04-11,Monthly,Visa,Auto-renew,Frequent,Action,Smart TV,Low,4
137,138,Jesus Brown,1958-12-03,Female,South Dave,2024-03-24,2025-03-24,Annual,Amex,Manual,Occasional,Documentary,Tablet,Medium,4
138,139,Katherine Jackson,1991-05-06,Female,East Mary,2024-04-14,2025-04-14,Annual,Mastercard,Manual,Occasional,Documentary,Tablet,Medium,9
139,140,Amy Serrano,1974-12-28,Male,Maryside,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Frequent,Drama,Tablet,High,5
140,141,Rachel Little,2003-12-29,Male,Carlbury,2024-01-20,2025-01-19,Annual,Mastercard,Manual,Regular,Action,Tablet,Low,0
141,142,Chris Atkins,1950-04-10,Female,East Jameschester,2024-04-05,2025-04-05,Monthly,Mastercard,Manual,Occasional,Drama,Tablet,High,3
142,143,Matthew Compton,1938-03-29,Female,Myersburgh,2024-03-09,2025-03-09,Annual,Visa,Manual,Occasional,Romance,Smartphone,Medium,1
143,144,John Martinez,1995-12-15,Male,Cunninghamchester,2024-02-20,2025-02-19,Monthly,Amex,Manual,Frequent,Comedy,Tablet,Medium,7
144,145,Virginia Gomez,1947-05-08,Male,Jacksonburgh,2024-01-31,2025-01-30,Annual,Visa,Auto-renew,Frequent,Drama,Smartphone,Medium,1
145,146,Carolyn Hale,1981-03-25,Male,Collinschester,2024-02-22,2025-02-21,Monthly,Mastercard,Auto-renew,Occasional,Drama,Smart TV,Medium,0
146,147,Kathleen Carter,1992-08-13,Male,South Triciaburgh,2024-02-10,2025-02-09,Monthly,Amex,Auto-renew,Occasional,Sci-Fi,Smart TV,Low,4
147,148,Troy Smith,1980-06-26,Male,West Jennifer,2024-03-27,2025-03-27,Monthly,Visa,Manual,Regular,Horror,Smart TV,Low,0
148,149,Alexander Hernandez,1971-11-12,Male,West Paulaport,2024-02-20,2025-02-19,Annual,Visa,Auto-renew,Frequent,Documentary,Smart TV,Medium,8
149,150,Elizabeth Duncan,1995-03-24,Female,Rodriguezshire,2024-04-02,2025-04-02,Annual,Amex,Manual,Occasional,Horror,Smartphone,High,7
150,151,Jeremy Fernandez,1988-11-29,Male,South Kristentown,2024-02-21,2025-02-20,Annual,Visa,Manual,Frequent,Drama,Smart TV,High,5
151,152,Phillip Jones,1985-01-26,Female,North Sherryshire,2024-01-22,2025-01-21,Annual,Visa,Manual,Frequent,Documentary,Smartphone,High,9
152,153,Thomas Woods,1990-08-09,Female,East Stevenfort,2024-03-31,2025-03-31,Monthly,Mastercard,Manual,Frequent,Horror,Tablet,High,9
153,154,Sara Doyle,1948-06-24,Male,Robertbury,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Documentary,Tablet,Medium,0
154,155,Joel Green,2000-06-08,Male,North Misty,2024-03-19,2025-03-19,Monthly,Mastercard,Auto-renew,Regular,Horror,Smart TV,High,5
155,156,Pamela Wagner,1989-02-10,Male,Lake Phillip,2024-04-10,2025-04-10,Annual,Mastercard,Manual,Occasional,Sci-Fi,Smartphone,Medium,5
156,157,Grant Carlson,1977-08-18,Male,Calebstad,2024-03-19,2025-03-19,Annual,Mastercard,Auto-renew,Frequent,Romance,Smartphone,High,7
157,158,Dr. Desiree Mitchell,1982-10-07,Male,Philipshire,2024-03-26,2025-03-26,Monthly,Mastercard,Auto-renew,Frequent,Documentary,Tablet,Medium,9
158,159,Scott Hall,1973-09-15,Female,Port Anthony,2024-01-23,2025-01-22,Monthly,Mastercard,Auto-renew,Occasional,Horror,Tablet,High,2
159,160,Veronica Barr,1934-10-16,Female,East Johnland,2024-01-29,2025-01-28,Monthly,Visa,Auto-renew,Regular,Sci-Fi,Smart TV,Medium,9
160,161,Katherine Andrews,1992-11-30,Female,West Kennethchester,2024-02-29,2025-02-28,Monthly,Amex,Auto-renew,Regular,Romance,Smart TV,Low,4
161,162,Eric Hernandez,1965-08-21,Male,South Scottview,2024-03-16,2025-03-16,Annual,Visa,Auto-renew,Occasional,Romance,Tablet,Medium,10
162,163,Kenneth Baldwin,1986-06-10,Male,Port Mariahton,2024-01-16,2025-01-15,Monthly,Visa,Auto-renew,Regular,Comedy,Tablet,Medium,0
163,164,Linda Warren,2001-10-18,Female,Mortonmouth,2024-03-04,2025-03-04,Monthly,Mastercard,Auto-renew,Regular,Sci-Fi,Smart TV,Low,1
164,165,Earl Griffin,1953-01-02,Male,Fowlerborough,2024-01-13,2025-01-12,Annual,Amex,Manual,Occasional,Romance,Smart TV,Medium,7
165,166,Matthew Greer,1983-01-27,Female,North Benjamin,2024-03-30,2025-03-30,Monthly,Visa,Manual,Frequent,Comedy,Tablet,Low,3
166,167,Kimberly Murray,1941-01-15,Male,New Shannonmouth,2024-02-26,2025-02-25,Monthly,Mastercard,Manual,Frequent,Comedy,Smartphone,Low,2
167,168,Patricia Long,1976-05-22,Female,Port Tracyville,2024-01-08,2025-01-07,Annual,Visa,Manual,Frequent,Comedy,Tablet,Low,2
168,169,Peter Harper,1969-10-22,Male,Lake Joshua,2024-04-09,2025-04-09,Annual,Amex,Manual,Occasional,Sci-Fi,Smartphone,Low,1
169,170,Natalie Bartlett,1976-12-11,Male,Andrewview,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Frequent,Action,Tablet,Medium,10
170,171,David Mccarty,1944-05-08,Male,Gibsonburgh,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Romance,Tablet,Medium,8
171,172,Sarah Thomas,1964-09-15,Female,Lake Jorgemouth,2024-02-20,2025-02-19,Monthly,Visa,Auto-renew,Occasional,Documentary,Tablet,Medium,9
172,173,Heather Holloway,1970-07-30,Male,Cortezborough,2024-04-12,2025-04-12,Monthly,Visa,Manual,Regular,Horror,Smartphone,Medium,5
173,174,Allison Mata,1988-10-10,Female,East Michaelmouth,2024-03-14,2025-03-14,Annual,Mastercard,Auto-renew,Occasional,Comedy,Smart TV,Low,0
174,175,William Gonzalez,1950-04-06,Female,East Erin,2024-02-04,2025-02-03,Annual,Visa,Manual,Occasional,Drama,Tablet,Medium,7
